,date,TTV,PTV
0,1/1/17,974336,27414
1,2/1/17,1010288,33111
2,3/1/17,1043596,34909
3,4/1/17,1101726,43917
4,5/1/17,1242002,37335
5,6/1/17,1095512,38134
6,7/1/17,1097465,32884
7,8/1/17,1099484,34963
8,9/1/17,1272453,36270
9,10/1/17,1167343,36370
10,11/1/17,1166136,35674
11,12/1/17,1091763,34105
12,13/1/17,1047980,31718
13,14/1/17,1207530,32128
14,15/1/17,1069956,34153
15,16/1/17,1084063,35860
16,17/1/17,1080672,35550
17,18/1/17,1274209,35949
18,19/1/17,1321857,36224
19,20/1/17,1144895,32227
20,21/1/17,1055484,31116
21,22/1/17,1179640,36870
22,23/1/17,1134244,33750
23,24/1/17,1120465,31875
24,25/1/17,1121837,28856
25,26/1/17,1009391,26222
26,27/1/17,1120805,22082
27,28/1/17,912061,22345
28,29/1/17,889870,21885
29,30/1/17,908859,24204
30,31/1/17,1167719,35764
31,1/2/17,1212033,31975
32,2/2/17,1229526,34843
33,3/2/17,1204996,34402
34,4/2/17,1116986,32934
35,5/2/17,1277005,36472
36,6/2/17,1184209,38476
37,7/2/17,1102203,38158
38,8/2/17,1281357,38647
39,9/2/17,1223748,37226
40,10/2/17,1166102,34171
41,11/2/17,1181468,33201
42,12/2/17,1170944,35524
43,13/2/17,1213206,37286
44,14/2/17,1237172,35358
45,15/2/17,1384702,40052
46,16/2/17,1293182,38622
47,17/2/17,1263089,37144
48,18/2/17,1211421,36038
49,19/2/17,1211870,38805
50,20/2/17,1260465,40618
51,21/2/17,1262326,41826
52,22/2/17,1456483,44816
53,23/2/17,1339674,39054
54,24/2/17,1229656,36464
55,25/2/17,1251424,37254
56,26/2/17,1183249,36633
57,27/2/17,1188192,37932
58,28/2/17,1237658,42948
59,1/3/17,1408830,40830
60,2/3/17,1320632,41115
61,3/3/17,1278093,38001
62,4/3/17,1253828,38670
63,5/3/17,1449566,41643
64,6/3/17,1337304,43526
65,7/3/17,1308552,43712
66,8/3/17,1368271,44028
67,9/3/17,1314237,42246
68,10/3/17,1321864,40761
69,11/3/17,1303292,40994
70,12/3/17,1336904,43273
71,13/3/17,1372276,44912
72,14/3/17,1526727,43317
73,15/3/17,1454182,43303
74,16/3/17,1408696,42879
75,17/3/17,1328175,38832
76,18/3/17,1264403,39619
77,19/3/17,1288180,41976
78,20/3/17,1367238,43065
79,21/3/17,1334148,44203
80,22/3/17,1431597,45160
81,23/3/17,1391076,43872
82,24/3/17,1318123,39440
83,25/3/17,1280077,41113
84,26/3/17,1277962,42746
85,27/3/17,1308890,44036
86,28/3/17,1115738,43135
87,29/3/17,1315827,42444
88,30/3/17,1303614,41073
89,31/3/17,1270172,37911
90,1/4/17,1242302,36556
91,2/4/17,1210881,36168
92,3/4/17,1235953,38596
93,4/4/17,1302669,41253
94,5/4/17,1508392,44744
95,6/4/17,1454308,44250
96,7/4/17,1357621,40999
97,8/4/17,1319590,40280
98,9/4/17,1334462,43405
99,10/4/17,1433479,45133
100,11/4/17,1379015,45651
101,12/4/17,1512944,43544
102,13/4/17,1377164,43436
103,14/4/17,1312636,39189
104,15/4/17,1313721,38618
105,16/4/17,1327953,42213
106,17/4/17,1482902,45146
107,18/4/17,1357616,44310
108,19/4/17,1456273,47080
109,20/4/17,1380075,43743
110,21/4/17,1679317,56359
111,22/4/17,1465826,58304
112,23/4/17,1439491,54375
113,24/4/17,1414022,46192
114,25/4/17,1580977,46756
115,26/4/17,1421264,45180
116,27/4/17,1621242,44569
117,28/4/17,1379901,38668
118,29/4/17,1314064,38696
119,30/4/17,1342072,39722
120,1/5/17,1351518,44162
121,2/5/17,1382181,45421
122,3/5/17,1613330,45795
123,4/5/17,1412100,44749
124,5/5/17,1553330,40904
125,6/5/17,1362247,41185
126,7/5/17,1366711,44013
127,8/5/17,1428078,47030
128,9/5/17,1382858,45633
129,10/5/17,1414389,45342
130,11/5/17,1424052,43860
131,12/5/17,1390647,40728
132,13/5/17,1350709,39526
133,14/5/17,1430629,41682
134,15/5/17,1399922,45256
135,16/5/17,1422499,47898
136,17/5/17,1423521,45486
137,18/5/17,1500835,50931
138,19/5/17,1419573,45086
139,20/5/17,1413673,40002
140,21/5/17,1373112,42981
141,22/5/17,1422842,44330
142,23/5/17,1434135,42351
143,24/5/17,1635508,47202
144,25/5/17,1666011,46509
145,26/5/17,1575400,39556
146,27/5/17,1398091,39088
147,28/5/17,1334782,38194
148,29/5/17,1318060,38896
149,30/5/17,1373213,42924
150,31/5/17,1384713,44379
151,1/6/17,1596951,44136
152,2/6/17,1645282,48258
153,3/6/17,1498039,44701
154,4/6/17,1459539,48068
155,5/6/17,1670138,50341
156,6/6/17,1518919,48330
157,7/6/17,1531843,47191
158,8/6/17,1627439,46642
159,9/6/17,1471468,41076
160,10/6/17,1428426,40633
161,11/6/17,1427624,44488
162,12/6/17,1618591,52216
163,13/6/17,1790763,50851
164,14/6/17,1796742,52548
165,15/6/17,1764226,54722
166,16/6/17,1493641,45194
167,17/6/17,1466607,46921
168,18/6/17,1474160,48811
169,19/6/17,1483132,49538
170,20/6/17,1772947,48320
171,21/6/17,1534404,47852
172,22/6/17,1644524,47186
173,23/6/17,1442500,44025
174,24/6/17,1399892,42944
175,25/6/17,1428579,45619
176,26/6/17,1463161,48085
177,27/6/17,1440328,47788
178,28/6/17,1706797,48266
179,29/6/17,1505618,47569
180,30/6/17,1436647,44166
181,1/7/17,1657156,56044
182,2/7/17,1487910,48860
183,3/7/17,1684069,52554
184,4/7/17,1552911,51477
185,5/7/17,1699070,52176
186,6/7/17,1515698,52636
187,7/7/17,1530879,46262
188,8/7/17,1454025,45217
189,9/7/17,1453829,47994
190,10/7/17,1567719,50619
191,11/7/17,1505127,49828
192,12/7/17,1550215,49293
193,13/7/17,1745383,64950
194,14/7/17,1521442,46257
195,15/7/17,1515305,45022
196,16/7/17,1482369,48260
197,17/7/17,1522690,52260
198,18/7/17,1755775,59151
199,19/7/17,1612003,52058
200,20/7/17,1608577,50889
201,21/7/17,1763444,49544
202,22/7/17,1491239,45775
203,23/7/17,1500968,48554
204,24/7/17,1672611,53292
205,25/7/17,1579195,50474
206,26/7/17,1640740,56017
207,27/7/17,1563776,52408
208,28/7/17,1553621,48046
209,29/7/17,1573895,51726
210,30/7/17,1563092,55022
211,31/7/17,1629453,58116
212,1/8/17,1690796,59042
213,2/8/17,1669352,58928
214,3/8/17,1657765,58336
215,4/8/17,1660942,53032
216,5/8/17,1630131,53299
217,6/8/17,1667647,57632
218,7/8/17,1747022,61052
219,8/8/17,1768029,62758
220,9/8/17,1795599,59796
221,10/8/17,1751485,59074
222,11/8/17,2005596,62076
223,12/8/17,1769326,49413
224,13/8/17,1681023,53380
225,14/8/17,1961656,58132
226,15/8/17,1811894,58650
227,16/8/17,1745966,55522
228,17/8/17,1740409,54624
229,18/8/17,1690117,51133
230,19/8/17,1621945,48033
