,promotionid,itemid,modelid,promotion_price,rebate,discount_percent,start_time,end_time
0,2000000004,62990658,123614700,199,239,0.5456621,8/6/17 12:00,9/6/17 12:00
7,2000000004,243474007,0,175,4,0.022346369,8/6/17 12:00,9/6/17 12:00
8,2000000004,71933059,57566074,199,217,0.521634615,8/6/17 12:00,9/6/17 12:00
14,2000000004,83493457,66439491,249,150,0.37593985,8/6/17 12:00,9/6/17 12:00
29,2000000004,106560468,82772807,499,381,0.432954545,8/6/17 12:00,9/6/17 12:00
31,2000000004,294978313,197543412,99,51,0.34,8/6/17 12:00,9/6/17 12:00
32,2000000004,94297897,96325855,26899,6001,0.182401216,8/6/17 12:00,9/6/17 12:00
37,2000000004,152911106,107064259,1599,281,0.149468085,8/6/17 12:00,9/6/17 12:00
44,2000000004,297290609,199356693,1999,991,0.331438127,8/6/17 12:00,9/6/17 12:00
49,2000000004,86906543,92327375,190,100,0.344827586,8/6/17 12:00,9/6/17 12:00
54,2000000004,137175580,100118225,799,400,0.333611343,8/6/17 12:00,9/6/17 12:00
56,2000000004,243598585,0,749,50,0.062578223,8/6/17 12:00,9/6/17 12:00
57,2000000004,178105505,0,715,149,0.172453704,8/6/17 12:00,9/6/17 12:00
58,2000000004,192684811,127012576,350,70,0.166666667,8/6/17 12:00,9/6/17 12:00
62,2000000004,222415726,143856836,199,100,0.334448161,8/6/17 12:00,9/6/17 12:00
66,2000000006,3641345,379227,299,76,0.202666667,9/6/17 12:00,10/6/17 12:00
78,2000000006,1582990,147154412,499,100,0.166944908,9/6/17 12:00,10/6/17 12:00
82,2000000006,12742494,9525917,150,100,0.4,9/6/17 12:00,10/6/17 12:00
86,2000000006,5637201,543325,840,148,0.149797571,9/6/17 12:00,10/6/17 12:00
90,2000000006,97704173,77062087,159,61,0.277272727,9/6/17 12:00,10/6/17 12:00
97,2000000006,12763858,0,550,430,0.43877551,9/6/17 12:00,10/6/17 12:00
98,2000000006,37374484,51119396,250,55,0.180327869,9/6/17 12:00,10/6/17 12:00
106,2000000006,24050958,12816718,675,475,0.413043478,9/6/17 12:00,10/6/17 12:00
116,2000000006,130719155,97546886,9999,2901,0.224883721,9/6/17 12:00,10/6/17 12:00
118,2000000006,227558605,147444055,20499,4401,0.176746988,9/6/17 12:00,10/6/17 12:00
119,2000000006,49915295,32667035,150,85,0.361702128,9/6/17 12:00,10/6/17 12:00
124,2000000006,110521384,0,449,49,0.098393574,9/6/17 12:00,10/6/17 12:00
125,2000000013,12934069,5394498,75,50,0.4,10/6/17 12:00,11/6/17 12:00
126,2000000013,298637440,200320153,275,75,0.214285714,10/6/17 12:00,11/6/17 12:00
128,2000000013,7787946,3163324,399,136,0.254205607,10/6/17 12:00,11/6/17 12:00
131,2000000013,87284153,69343343,850,130,0.132653061,10/6/17 12:00,11/6/17 12:00
134,2000000013,11787819,4558180,699,201,0.223333333,10/6/17 12:00,11/6/17 12:00
143,2000000013,240317936,187501626,530,120,0.184615385,10/6/17 12:00,11/6/17 12:00
144,2000000013,191059449,126128741,2399,181,0.070155039,10/6/17 12:00,11/6/17 12:00
145,2000000013,235698755,153077404,999,300,0.230946882,10/6/17 12:00,11/6/17 12:00
148,2000000013,61558689,0,310,312,0.501607717,10/6/17 12:00,11/6/17 12:00
149,2000000013,296495091,0,299,100,0.250626566,10/6/17 12:00,11/6/17 12:00
